,Voltage,Current,Action
0,14.21105562,8.5266321,0
1,14.21105562,14.2110535,0
2,34.10653342,14.2110535,0
3,34.10653342,14.2110535,0
4,51.15980016,14.2110535,0
5,51.15980016,25.5798963,0
6,59.68643347,25.5798963,0
7,59.68643354,36.9487391,0
8,68.21306684,36.9487391,0
9,68.21306684,36.9487391,0
10,79.58191134,36.9487391,0
11,79.58191134,36.9487391,0
12,79.58191134,36.9487391,0
13,79.58191134,39.7909498,0
14,79.58191134,39.7909498,0
15,79.58191134,45.4753712,0
16,79.58191134,45.4753712,0
17,79.58191134,45.4753712,0
18,82.42412246,45.4753712,0
19,82.42412246,45.4753712,0
20,82.42412246,45.4753712,0
21,82.42412246,45.4753712,0
22,82.42412246,45.4753712,0
23,82.42412246,45.4753712,0
24,82.42412246,45.4753712,0
25,82.42412246,45.4753712,0
26,82.42412246,45.4753712,0
27,82.42412246,45.4753712,0
28,82.42412246,45.4753712,0
29,82.42412246,45.4753712,0
30,82.42412246,48.3175819,0
31,82.42412246,48.3175819,0
32,82.42412246,48.3175819,0
33,82.42412246,48.3175819,0
34,82.42412246,48.3175819,0
35,82.42412246,48.3175819,0
36,82.42412246,48.3175819,0
37,82.42412246,48.3175819,0
38,82.42412246,48.3175819,0
39,82.42412246,48.3175819,0
40,82.42412246,48.3175819,0
41,82.42412246,48.3175819,0
42,82.42412246,48.3175819,0
43,82.42412246,48.3175819,0
44,82.42412246,48.3175819,0
45,82.42412246,48.3175819,0
46,82.42412246,48.3175819,0
47,82.42412246,48.3175819,0
48,82.42412246,48.3175819,0
49,82.42412246,48.3175819,0
50,82.42412246,48.3175819,0
51,82.42412246,48.3175819,0
52,82.42412246,48.3175819,0
53,82.42412246,48.3175819,0
54,82.42412246,48.3175819,0
55,82.42412246,48.3175819,0
56,82.42412246,48.3175819,0
57,82.42412246,48.3175819,0
58,82.42412246,48.3175819,0
59,82.42412246,48.3175819,0
60,82.42412246,48.3175819,0
61,82.42412246,48.3175819,0
62,82.42412246,48.3175819,0
63,82.42412246,48.3175819,0
64,82.42412246,48.3175819,0
65,82.42412246,48.3175819,0
66,82.42412246,48.3175819,0
67,82.42412246,48.3175819,0
68,82.42412246,48.3175819,0
69,82.42412246,48.3175819,0
70,82.42412246,48.3175819,0
71,82.42412246,48.3175819,0
72,82.42412246,48.3175819,0
73,82.42412246,48.3175819,0
74,82.42412246,48.3175819,0
75,82.42412246,51.1597926,0
76,82.42412246,51.1597926,0
77,82.42412246,51.1597926,0
78,82.42412246,51.1597926,0
79,90.95075583,51.1597926,0
80,90.95075583,51.1597926,0
81,90.95075583,51.1597926,0
82,90.95075583,51.1597926,0
83,108.0040225,51.1597926,0
84,108.0040225,54.0020033,0
85,108.0040225,54.0020033,0
86,108.0040225,54.0020033,0
87,108.0040225,65.3708461,0
88,108.0040225,65.3708461,0
89,108.0040225,65.3708461,0
90,108.0040225,65.3708461,0
91,108.0040225,65.3708461,0
92,108.0040225,65.3708461,0
93,125.0572893,65.3708461,0
94,125.0572893,65.3708461,0
95,125.0572893,65.3708461,0
96,125.0572893,65.3708461,0
97,125.0572893,68.2130568,0
98,125.0572893,68.2130568,0
99,125.0572893,73.8974782,0
100,133.5839226,73.8974782,0
101,133.5839226,88.1085317,0
102,133.5839226,88.1085317,0
103,133.5839226,88.1085317,0
104,133.5839226,88.1085317,0
105,133.5839226,88.1085317,0
106,133.5839226,88.1085317,0
107,133.5839226,88.1085317,0
108,133.5839226,88.1085317,0
109,133.5839226,88.1085317,0
110,133.5839226,93.7929531,0
111,133.5839226,93.7929531,0
112,133.5839226,93.7929531,0
113,133.5839226,93.7929531,0
114,133.5839226,93.7929531,0
115,133.5839226,93.7929531,0
116,133.5839226,93.7929531,0
117,133.5839226,93.7929531,0
118,133.5839226,93.7929531,0
119,133.5839226,96.6351638,0
120,133.5839226,96.6351638,0
121,133.5839226,96.6351638,0
122,133.5839226,96.6351638,0
123,133.5839226,96.6351638,0
124,136.4261337,96.6351638,0
125,136.4261337,99.4773745,0
126,136.4261337,99.4773745,0
127,139.2683448,99.4773745,0
128,147.7949782,99.4773745,0
129,147.7949782,99.4773745,0
130,147.7949782,99.4773745,0
131,147.7949782,99.4773745,0
132,147.7949782,108.0040066,0
133,147.7949782,108.0040066,0
134,147.7949782,108.0040066,0
135,153.4794004,108.0040066,0
136,153.4794004,108.0040066,0
137,153.4794004,108.0040066,0
138,153.4794004,108.0040066,0
139,153.4794004,108.0040066,0
140,153.4794004,108.0040066,0
