delay,MLP_200,MLP_500,MLP_1000,MLP_1500
1,8.8,-97.2,-64.8,-59.2
2,-6.4,-74.8,-50.800000000000004,-46.800000000000004
3,-12.0,-70.0,-64.0,-18.400000000000002
4,-88.80000000000001,-144.0,-101.60000000000001,-96.80000000000001
5,65.2,29.200000000000003,32.800000000000004,26.400000000000002
6,-166.0,-170.8,-130.8,-87.2
7,-76.4,-124.80000000000001,-99.2,-56.400000000000006
8,-24.8,-82.0,-53.2,-57.2
9,52.400000000000006,-25.6,-34.0,-52.0
10,-11.200000000000001,-60.0,-69.2,-84.0
