delay,LSTM_200,LSTM_500,LSTM_1000,LSTM_1500
1,-28.0,-28.0,-52.0,-28.400000000000002
2,-65.60000000000001,-60.800000000000004,-65.60000000000001,-61.6
3,-49.2,-41.2,-48.400000000000006,-40.400000000000006
4,-146.8,-146.0,-150.0,-146.8
5,72.4,100.80000000000001,77.60000000000001,101.2
6,-170.4,-140.8,-138.8,-136.4
7,-114.4,-112.80000000000001,-121.2,-112.80000000000001
8,-39.6,-40.0,-86.4,-40.800000000000004
9,76.0,76.4,72.8,75.2
10,-28.8,-28.8,-49.2,-28.8
